panglao_ontology	panglao_annotation	original_panglao_name	blueprint_ontology	blueprint_annotation_cl	consensus_ontology	consensus_annotation
CL:0000583	alveolar macrophage	Alveolar macrophages	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000767	basophil	Basophils	CL:0000775	neutrophil	CL:0000094	granulocyte
CL:0000771	eosinophil	Eosinophils	CL:0000775	neutrophil	CL:0000094	granulocyte
CL:0000235	macrophage	Macrophages	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000097	mast cell	Mast cells	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000576	monocyte	Monocytes	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000576	monocyte	Osteoclast precursor cells	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000775	neutrophil	Neutrophils	CL:0000775	neutrophil	CL:0000775	neutrophil
CL:0000092	osteoclast	Osteoclasts	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000091	Kupffer cell	Kupffer cells	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000453	Langerhans cell	Langerhans cells	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000129	microglial cell	Microglia	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000889	myeloid suppressor cell	Myeloid-derived suppressor cells	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000874	splenic red pulp macrophage	Red pulp macrophages	CL:0000775	neutrophil	CL:0000766	myeloid leukocyte
CL:0000767	basophil	Basophils	CL:0000576	monocyte	CL:0000766	myeloid leukocyte
CL:0000451	dendritic cell	Dendritic cells	CL:0000576	monocyte	CL:0000113	mononuclear phagocyte
CL:0000771	eosinophil	Eosinophils	CL:0000576	monocyte	CL:0000766	myeloid leukocyte
CL:0000097	mast cell	Mast cells	CL:0000576	monocyte	CL:0000766	myeloid leukocyte
CL:0000576	monocyte	Monocytes	CL:0000576	monocyte	CL:0000576	monocyte
CL:0000576	monocyte	Osteoclast precursor cells	CL:0000576	monocyte	CL:0000576	monocyte
CL:0000775	neutrophil	Neutrophils	CL:0000576	monocyte	CL:0000766	myeloid leukocyte
CL:0000784	plasmacytoid dendritic cell	Plasmacytoid dendritic cells	CL:0000576	monocyte	CL:0000113	mononuclear phagocyte
CL:0000889	myeloid suppressor cell	Myeloid-derived suppressor cells	CL:0000576	monocyte	CL:0000766	myeloid leukocyte
CL:0000037	hematopoietic stem cell	Hematopoietic stem cells	CL:0000050	megakaryocyte-erythroid progenitor cell	CL:0008001	hematopoietic precursor cell
CL:0000038	erythroid progenitor cell	Erythroid-like and erythroid precursor cells	CL:0000050	megakaryocyte-erythroid progenitor cell	CL:0008001	hematopoietic precursor cell
CL:0000084	T cell	T cells	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0002038	T follicular helper cell	T follicular helper cells	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000624	CD4-positive, alpha-beta T cell
CL:0000893	thymocyte	Thymocytes	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000798	gamma-delta T cell	Gamma delta T cells	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000084	T cell
CL:0000814	mature NK T cell	Natural killer T cells	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000791	mature alpha-beta T cell
CL:0000898	naive T cell	T cells naive	CL:0000624	CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000910	cytotoxic T cell	T cytotoxic cells	CL:0000624	CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000912	helper T cell	T helper cells	CL:0000624	CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000813	memory T cell	T memory cells	CL:0000624	CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000815	regulatory T cell	T regulatory cells	CL:0000624	CD4-positive, alpha-beta T cell	CL:0002419	mature T cell
CL:0000084	T cell	T cells	CL:0000815	regulatory T cell	CL:0000084	T cell
CL:0002038	T follicular helper cell	T follicular helper cells	CL:0000815	regulatory T cell	CL:0002419	mature T cell
CL:0000893	thymocyte	Thymocytes	CL:0000815	regulatory T cell	CL:0000084	T cell
CL:0000798	gamma-delta T cell	Gamma delta T cells	CL:0000815	regulatory T cell	CL:0000084	T cell
CL:0000814	mature NK T cell	Natural killer T cells	CL:0000815	regulatory T cell	CL:0002419	mature T cell
CL:0000898	naive T cell	T cells naive	CL:0000815	regulatory T cell	CL:0002419	mature T cell
CL:0000910	cytotoxic T cell	T cytotoxic cells	CL:0000815	regulatory T cell	CL:0002419	mature T cell
CL:0000912	helper T cell	T helper cells	CL:0000815	regulatory T cell	CL:0002419	mature T cell
