scimilarity_celltype_annotation	cl_annotation	scimilarity_celltype_ontology
progenitor cell	progenitor cell	CL:0011026
native cell	cell	CL:0000000
oligodendrocyte precursor cell	oligodendrocyte precursor cell	CL:0002453
radial glial cell	radial glial cell	CL:0000681
microglial cell	microglial cell	CL:0000129
blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071
glutamatergic neuron	glutamatergic neuron	CL:0000679
CD14-positive monocyte	CD14-positive monocyte	CL:0001054
central memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	CL:0000904
naive thymus-derived CD8-positive, alpha-beta T cell	naive thymus-derived CD8-positive, alpha-beta T cell	CL:0000900
natural killer cell	natural killer cell	CL:0000623
effector memory CD8-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	CL:0000913
CD14-low, CD16-positive monocyte	CD14-low, CD16-positive monocyte	CL:0002396
B cell	B cell	CL:0000236
naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000895
CD4-positive, alpha-beta cytotoxic T cell	CD4-positive, alpha-beta cytotoxic T cell	CL:0000934
naive B cell	naive B cell	CL:0000788
mucosal invariant T cell	mucosal invariant T cell	CL:0000940
gamma-delta T cell	gamma-delta T cell	CL:0000798
central memory CD8-positive, alpha-beta T cell	central memory CD8-positive, alpha-beta T cell	CL:0000907
double negative thymocyte	double negative thymocyte	CL:0002489
memory B cell	memory B cell	CL:0000787
plasmacytoid dendritic cell	plasmacytoid dendritic cell	CL:0000784
CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	CL:0000625
naive regulatory T cell	naive regulatory T cell	CL:0002677
plasmablast	plasmablast	CL:0000980
effector memory CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	CL:0000905
conventional dendritic cell	conventional dendritic cell	CL:0000990
hematopoietic stem cell	hematopoietic stem cell	CL:0000037
platelet	platelet	CL:0000233
CD16-negative, CD56-bright natural killer cell, human	CD16-negative, CD56-bright natural killer cell, human	CL:0000938
CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	CL:0000624
